2025-05-22 17:25:14 | INFO |MainProcess | MainThread |  __main__ : main:63 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:25:14 | INFO |MainProcess | MainThread |  __main__ : main:71 | p_comm子进程开始运行
2025-05-22 17:25:14 | INFO |MainProcess | MainThread |  __main__ : main:80 | p_deep_camera子进程开始运行
2025-05-22 17:25:14 | INFO |MainProcess | MainThread |  __main__ : main:88 | p_infrared_camera子进程开始运行
2025-05-22 17:25:14 | INFO |MainProcess | MainThread |  __main__ : main:96 | p_gui子进程开始运行
2025-05-22 17:25:52 | ERROR |MainProcess | MainThread |  __main__ : main:108 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:25:52 | ERROR |MainProcess | MainThread |  __main__ : main:111 | 终止p_deep_camera子进程
2025-05-22 17:25:52 | ERROR |MainProcess | MainThread |  __main__ : main:116 | 终止p_infrared_camera子进程
2025-05-22 17:25:52 | ERROR |MainProcess | MainThread |  __main__ : main:122 | 终止p_comm子进程
2025-05-22 17:25:59 | INFO |MainProcess | MainThread |  __main__ : main:63 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:25:59 | INFO |MainProcess | MainThread |  __main__ : main:71 | p_comm子进程开始运行
2025-05-22 17:25:59 | INFO |MainProcess | MainThread |  __main__ : main:80 | p_deep_camera子进程开始运行
2025-05-22 17:25:59 | INFO |MainProcess | MainThread |  __main__ : main:88 | p_infrared_camera子进程开始运行
2025-05-22 17:25:59 | INFO |MainProcess | MainThread |  __main__ : main:96 | p_gui子进程开始运行
2025-05-22 17:27:46 | INFO |MainProcess | MainThread |  __main__ : main:63 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:27:46 | INFO |MainProcess | MainThread |  __main__ : main:71 | p_comm子进程开始运行
2025-05-22 17:27:46 | INFO |MainProcess | MainThread |  __main__ : main:80 | p_deep_camera子进程开始运行
2025-05-22 17:27:46 | INFO |MainProcess | MainThread |  __main__ : main:88 | p_infrared_camera子进程开始运行
2025-05-22 17:27:46 | INFO |MainProcess | MainThread |  __main__ : main:96 | p_gui子进程开始运行
2025-05-22 17:28:11 | ERROR |MainProcess | MainThread |  __main__ : main:108 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:28:11 | ERROR |MainProcess | MainThread |  __main__ : main:111 | 终止p_deep_camera子进程
2025-05-22 17:28:11 | ERROR |MainProcess | MainThread |  __main__ : main:116 | 终止p_infrared_camera子进程
2025-05-22 17:28:11 | ERROR |MainProcess | MainThread |  __main__ : main:122 | 终止p_comm子进程
2025-05-22 17:28:52 | INFO |MainProcess | MainThread |  __main__ : main:63 | ----------------------------------------main_start----------------------------------------
2025-05-22 17:28:52 | INFO |MainProcess | MainThread |  __main__ : main:71 | p_comm子进程开始运行
2025-05-22 17:28:52 | INFO |MainProcess | MainThread |  __main__ : main:80 | p_deep_camera子进程开始运行
2025-05-22 17:28:52 | INFO |MainProcess | MainThread |  __main__ : main:88 | p_infrared_camera子进程开始运行
2025-05-22 17:28:52 | INFO |MainProcess | MainThread |  __main__ : main:96 | p_gui子进程开始运行
2025-05-22 17:29:06 | ERROR |MainProcess | MainThread |  __main__ : main:108 | p_gui子进程已停止，同步终止p_comm子进程
2025-05-22 17:29:06 | ERROR |MainProcess | MainThread |  __main__ : main:111 | 终止p_deep_camera子进程
2025-05-22 17:29:06 | ERROR |MainProcess | MainThread |  __main__ : main:116 | 终止p_infrared_camera子进程
2025-05-22 17:29:06 | ERROR |MainProcess | MainThread |  __main__ : main:122 | 终止p_comm子进程
